0,1599,1672,1000,1602,779,368,1222,368,1446,772,1603,1130,571,490
3,4,1,7,0,4,4,2,7,4,0,5,5,4
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------SSS----------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------S------S-------------------S------------------------
-----------------------------------------------------------------S-----------------------------------------------------------------------------------------------------------------------------------------------------------------S------------------------
-----------------------------------------------------------------S---------------------------------------------------S-----------SS----S-So------------------X-------------------------S-------------------------------------------S--------------S---------
--S--------------------------------------------------------------S-------------------X-----------------------------------X-------------S--%X-----------------X-------------------------S-------------------------------------------S--------------S---------
--------------------------------------S--------------------------S-------------------X--------------k--------------------X-------------S%-|X----------SS-----X-------------------------S----------------------T--------------------S--------------S---------
-----------------------------------------------------------------S--------------Q----X---------S----#-----------------U--X------?-S----S|-|X-----------------X------------------------------------------------T--------------------S-------------S----------
-----------------------------------------------------------------S-------------------X--------------#--------------------X--------S---T-|-|X-----------------X------------------------------------------------T--------------------SU-----------------------
--Q--------------------------------------------------------------S-------------------X--------------#--------------------X--------S---T-|-|X-----------------X------------------------------------------Q-----X--------------------S------------------------
--------------------------------------SQ-------------------------S-------------------X--------?-----#--------------------X--------S---T-|-|X--------U--S----UX-------1K---------------S-o----------------------S----------#S-------S-t-----------S----------
---T----------------------------------K---------------------K----S---------C----?----X--------------#------------------U-X--------S---XS|-|X-----------------X-------------------------S--Q--o-----------#-----S----------#--gk---kS-t------------S---------
---Tk------------------------------------------------------------S-------------------X----------#---#-------------U------X----------U--S|-|X-----------------X-------------------------S-----------------#----kS--------XXX-XXXXXXXXXXXX----------S---------
XXXXXXXXXXX---XX-------------------------k--------------o-------kS---------S---------X-------S--#---#---------#-------#--X-------------S|-|X---------g----k--X-------------------------S-#------------XXXXXXXXXXXX--XX--XXX-XXXXXXXXXXXX----------S---------
XXXXXXXXXXX---XX----o-----k----g----XXXXXXXXXXXXXXXX--XX%X--XXXXXX--XX------k#--gg--kX--------S-#-k-#--k------#-#---kg#--X-------g----kS|k|X----XXXXXXXXXXXXXXXX----o-#------yS%--------k#-------g----XXXXXXXXXXXX--XX--XXXXXXXXXXXXXXXX-----------k--------
XXXXXXXXXXXXXXXXXXXX%XX-XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX-X--XXXXXX--XXXXXXX-XXXXXXXXXXXXXXXX----XXXXX-XXXXXXXXXXX-%XXXXXXXXXXXXXXXX-%XXX|X|XXXXXXXXXXXXXXXXXXXXXXXXX%XXXXXXXXX--XXXXXXXXXXX-XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX--XXXX--XXXX
XXXXXXXXXXXXXXXXXXXX-XX-XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX-XXXXXXXXXXXXXXXX----XXXXX-XXXXXXXXXXX--XXXXXXXXXXXXXXXX--XXX|X|XXXXXXXXXXXXXXXXXXXXXXXXX-XXXXXXXXX--XXXXXXXXXXX-XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX--XXXX--XXXX


